rmse,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,early_stopping_rounds
27.592313320824175,598,6,0.025131235216566173,0.5898541038172175,0.5750550926531732,14
28.26260283905715,667,3,0.05482462676317538,0.7189939985344114,0.6105408893714255,13
24.439978744572514,239,6,0.010967248774023074,0.7167832314419376,0.673748984518115,19
21.73922918811427,758,9,0.01634980636443395,0.5590510387577163,0.5953156664495877,13
24.508502341263505,407,13,0.0862947621725561,0.5149605474710177,0.7818965549483794,21
21.382836048808734,573,5,0.026669823032785173,0.6362896676075684,0.6682945169857595,16
19.78978498113634,360,11,0.05105386685003556,0.6854513162534678,0.7271821093234904,35
25.099081002847495,479,14,0.11796145263207178,0.8994009418805435,0.5706745753326705,12
24.04489641185903,951,12,0.18587991461765782,0.582165533389591,0.7834595635332129,28
19.033982254608468,838,10,0.17234167022076566,0.7532633644284698,0.6384601353337999,23
22.400402119978086,781,10,0.14397454772500234,0.7451351651854338,0.638976636507294,23
28.1784269020785,873,9,0.20798830551554492,0.825364179283861,0.6109606737959702,17
21.03039530906323,913,11,0.06395758198358423,0.7782611456330973,0.7000866972620196,29
21.767137813093818,814,8,0.103700790615131,0.8693073784841211,0.7540000353317302,22
24.76798835332237,675,7,0.01283153845495214,0.6182721839238741,0.5369206112644779,50
24.402828665443685,190,7,0.042694533578050586,0.9521080613282245,0.6505676904282435,34
27.688240678580502,517,10,0.2992884796465168,0.8280010279702128,0.8269765499678586,25
27.177122884896797,270,3,0.12863347930765473,0.6532016756414363,0.5985385288355715,10
29.39767035771606,352,8,0.16968970734635605,0.6969057305241505,0.5433990403266962,41
29.745176292893483,726,12,0.03274869131320132,0.5598919295531872,0.7534991922428378,18
37.68186207570145,448,11,0.049718006853212184,0.7389250592049119,0.727527364693994,33
24.10207404238339,343,11,0.07851202176563711,0.6930695890800573,0.6912021833869524,36
28.32686993048462,160,9,0.06567045520462507,0.6131558145691816,0.5000447955852225,31
25.886383648521427,453,14,0.028310622927797575,0.7565872161126235,0.8127726962746646,39
30.031760125089864,503,9,0.10277621428078487,0.8060814241776039,0.9206410542164185,32
21.537705825291535,339,12,0.14953537602169392,0.6478527416549902,0.7292573295826624,44
22.659749190987032,627,13,0.03814695963169359,0.8953748823220464,0.6608233092400349,29
26.837845638130005,232,15,0.016235537927719146,0.5402181186594787,0.6201375113834072,16
19.981297713131177,102,10,0.22314141909419935,0.5040302591291131,0.999987042860535,26
23.079631118338824,917,15,0.1453827059011868,0.932806152814721,0.5656487854904556,16
20.175817930145747,218,11,0.014071011739205393,0.906951842751646,0.8671275706244379,45
35.94128037181793,249,7,0.06481873988929845,0.7548072155872232,0.9321315897118776,19
31.299281453912805,889,14,0.07943146951756869,0.8209555129102881,0.6954646064797423,41
24.87620227151092,560,3,0.24871226398593893,0.6533327632427104,0.7000270282234606,21
29.23031814783133,986,13,0.056109274900146965,0.7591754549430096,0.5595478786108363,14
29.024021065802117,416,13,0.03989438688527405,0.8431133621962735,0.7309788364342547,49
20.25797670344172,508,5,0.03792866695767516,0.6293270349421018,0.5701154016221779,44
39.014171666463874,299,5,0.04445806097202469,0.6275904640348442,0.9397337137729953,40
22.18186685752929,742,10,0.01649280141139656,0.6768219559302032,0.7511596669923436,10
31.447548445350336,588,6,0.08748640254847151,0.848685265321119,0.9254553589361829,50
35.02258444059258,383,9,0.013195841998708912,0.5905347212421488,0.5673627225502514,17
23.382313935546858,340,3,0.0648259228113177,0.6740664354150705,0.7313987853494551,33
25.362208858527953,236,6,0.05257324958784979,0.7034937446818621,0.5548068472014227,23
23.47096829146728,453,7,0.25582740312093893,0.9737555516353714,0.8854266947441225,20
25.155004093758983,853,14,0.06542702417898834,0.793777357832859,0.8815207936876144,13
27.257747563694505,603,7,0.01562072160400845,0.8609476807034776,0.6120906730900182,40
34.126690162471256,853,5,0.016376398648510943,0.5313813240441819,0.7774010772104512,41
26.288299812487875,386,4,0.014431254920372054,0.9970973938484278,0.8106911045403815,18
31.29549617843896,942,8,0.20941847510749584,0.7790040374153235,0.6417069105263304,35
27.480030924461765,628,15,0.04429571906225119,0.9141141225803746,0.5179370231822602,26
20.131611182387466,159,10,0.03404691487481312,0.9048953041054896,0.5075658103258552,13
24.60409913684989,452,10,0.29581767239999157,0.7710127248013374,0.7221298992996432,39
29.597061052564303,616,6,0.06052213800154902,0.9431789830251496,0.9061177471928725,23
22.70478234014326,616,10,0.010291041472443639,0.5421982749189744,0.6970028730678469,38
22.208348067268602,898,9,0.12023835257125111,0.829690143295087,0.8163949136728044,10
18.291471835107508,629,6,0.2968078548130105,0.8272496552780402,0.9549546412909898,42
25.01741946835182,635,3,0.02237395560261022,0.5243006056909141,0.5949529685002075,30
